folder,video_file,video_path,caption
Fabric 119,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Fabric 119/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a wall or a piece of fabric. The surface is predominantly gray, with variations in shading that give it a three-dimensional appearance. There are no discernible objects or figures in the frame, and the focus remains solely on the textured surface. The overall mood of the clip is neutral, with no apparent movement or action taking place."
814 Pyramids Wall - V02,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/814 Pyramids Wall - V02/btf_sequence.mp4,"The video clip features a close-up view of a colorful, geometric-patterned surface. The surface is divided into several square and rectangular sections, each filled with a vibrant mix of colors such as red, green, blue, and purple. The patterns within each section are intricate, with some sections containing circular or diamond-shaped designs. The overall effect is a visually striking and dynamic display of colors and shapes. The video captures the movement of the camera, which seems to be panning or zooming in on different sections of the surface,"
1226 Rough Wall Paint,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/1226 Rough Wall Paint/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a wall or a piece of fabric. The texture appears to be rough and uneven, with a pattern of small, raised bumps or ridges distributed across the surface. The camera remains stationary throughout the clip, providing a consistent view of the textured surface. The overall impression is one of a detailed, tactile surface that invites the viewer to explore"
Large Red Bricks,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Large Red Bricks/btf_sequence.mp4,"The video clip showcases a close-up view of a brick wall. The bricks are arranged in a traditional pattern, with each brick overlapping slightly in a staggered manner. The bricks themselves are a reddish-brown color, with some variation in hue, giving the wall a textured appearance. The mortar between the bricks is a lighter color, contrasting with the darker bricks and creating a subtle pattern. The wall appears to be well-maintained, with no visible cracks or damage. The overall scene is static, with no movement or action taking place. The focus"
1357 Sand,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/1357 Sand/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, which appears to be a piece of fabric or a similar material. The texture is characterized by a series of small, raised bumps or nodules that create a somewhat uneven, almost granular appearance. The color of the surface is a muted, neutral tone, likely a shade of gray or beige, which gives it a subtle and understated look. The overall composition of the clip is simple and focused, with the textured surface being the central element. There are no"
LeatherStitch 094,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/LeatherStitch 094/btf_sequence.mp4,"The video clip features a close-up view of a textured surface. The texture appears to be a series of small, raised, and evenly spaced dots arranged in a grid-like pattern. The color of the surface is a warm, golden hue, giving it a rich and luxurious appearance. The overall effect is one of uniformity and precision, with the dots appearing to be evenly spaced and consistent in size. The surface seems to be smooth to the touch, with no visible imperfections or irregularities. The video focuses solely on this textured surface, providing"
331 Marble Wall 01,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/331 Marble Wall 01/btf_sequence.mp4,"The video clip features a close-up view of a textured, dark-colored surface, possibly a wall or a floor. The surface is divided into horizontal stripes, each with a slightly different texture and color. The stripes are separated by thin, vertical lines that run parallel to each other. The overall appearance of the surface suggests a modern, industrial design, with a focus on geometric patterns and minimalistic aesthetics. The video captures the"
1141 Abandoned Hotel Marble Floor,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/1141 Abandoned Hotel Marble Floor/btf_sequence.mp4,"The video clip depicts a close-up view of a metallic surface, likely a floor or a wall, covered with a mosaic of square tiles. The tiles are arranged in a grid pattern, with each tile having a reflective, mirror-like finish. The tiles are predominantly silver or metallic in color, with some having a slight purple tint. In the center of the frame, there is a circular object, possibly a drain cover, with a textured pattern on its surface. The drain cover is surrounded by the tiles, and its position is slightly off-center. The tiles around the drain cover appear to be slightly raised or elevated compared to the rest of"
Foam 003,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Foam 003/btf_sequence.mp4,"The video clip depicts a close-up view of a textured surface covered in foam. The foam appears to be white and is spread across the entire visible area. The texture of the surface is irregular, with various shapes and sizes of bubbles and foam patches. The overall scene gives the impression of a dynamic and somewhat chaotic pattern, with the foam moving and shifting in an unpredictable manner. The video captures the essence of a foam-covered surface, highlighting the intricate details and the fluid nature of the foam."
Ground 007 X Snow 005,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Ground 007 X Snow 005/btf_sequence.mp4,"The video clip depicts a close-up view of a textured surface, likely a wall or a piece of art. The surface is covered in small, irregularly shaped particles or fragments, which appear to be made of a light-colored material, possibly stone or plaster. The particles are scattered unevenly across the surface, creating a rough and uneven texture."
2176 Bruno Copacabana,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/2176 Bruno Copacabana/btf_sequence.mp4,"The video clip features a close-up view of a textured surface with a repetitive, swirling pattern. The pattern consists of interlocking, wavy shapes that create a sense of movement and depth. The colors in the pattern are primarily shades of pink and white, with the pink elements forming the swirling shapes and the white background providing contrast. The texture appears to be somewhat rough and uneven, with variations in the surface that add to the visual interest. The overall effect is dynamic and visually engaging, with the swirling pattern drawing the viewer's eye across the surface. The video does not include any additional objects or actions, focusing solely on the intricate pattern and"
Tiles Green Leaf 01,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Tiles Green Leaf 01/btf_sequence.mp4,"The video clip showcases a close-up view of a wall adorned with a pattern of hexagonal tiles. The tiles are arranged in a grid-like formation, creating a repetitive and geometric design. The pattern is symmetrical, with each hexagonal tile fitting perfectly into the space next to it, forming a cohesive and orderly design. The tiles are evenly spaced, and the"
713 Deck Metal Gripstrips,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/713 Deck Metal Gripstrips/btf_sequence.mp4,"The video clip features a close-up view of a wooden floor with a unique design. The floor is composed of long, rectangular wooden planks arranged in a diagonal pattern. The planks are separated by thin, metallic-looking lines that create a grid-like structure, adding a modern touch to the overall design. The camera angle is slightly tilted, providing a dynamic perspective that emphasizes the geometric pattern and the inter"
Bricks 076 B,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Bricks 076 B/btf_sequence.mp4,"The video clip showcases a close-up view of a stone wall. The wall is constructed from rectangular stones, each with a rough, textured surface. The stones are arranged in a grid-like pattern, with visible mortar lines between them. The wall appears to be well-maintained, with no visible cracks or damage. The overall scene gives a sense of durability and stability, typical of stone walls used in construction or as a"
Chip 006,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Chip 006/btf_sequence.mp4,"The video clip features a digital, pixelated pattern that shifts and changes throughout the sequence. The pattern is composed of various shapes and colors, primarily in shades of green, white, and gray. The shapes appear to be abstract and irregular, creating a sense of movement and fluidity. The overall effect is reminiscent of a digital or electronic display, with the pixelated nature suggesting a connection to technology or digital art. The video transitions smoothly between different patterns, maintaining a consistent color palette and style."
1676 Plastic Base,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/1676 Plastic Base/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a wall or a piece of fabric. The surface is predominantly a warm, reddish-brown color with a rough, uneven texture. There are a few noticeable features on the surface. A small, dark hair or fiber is visible, lying diagonally across the center of the frame. Additionally, there are a few faint, horizontal lines or streaks that run across the surface, possibly due to wear or damage. The overall composition of the clip is simple, focusing"
726 Wood Painted Peeling,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/726 Wood Painted Peeling/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a piece of wood or a wooden panel. The surface is predominantly white or light-colored, with visible grain patterns and some areas that appear to be worn or scratched. The texture is rough and uneven, with lines and streaks running diagonally across the surface. The overall appearance suggests a rustic or aged look, possibly intended to evoke a sense of history or natural beauty."
Fabric 63 1,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Fabric 63 1/btf_sequence.mp4,"The video clip features a close-up view of a textured surface adorned with a repeating floral pattern. The background is a warm, golden-brown color, providing a rich and inviting backdrop for the intricate designs. The pattern consists of small, delicate flowers and leaves, each meticulously crafted to create a harmonious and visually appealing design. The flowers are arranged in a grid-like formation, with each flower connected by slender, curved stems that intertwine and form a continuous, flowing pattern. The leaves are interspersed among the flowers, adding a sense of depth and natural beauty to the overall composition. The texture of the surface is slightly raised, giving"
Dark Ocean Tiles 06,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Dark Ocean Tiles 06/btf_sequence.mp4,"The video clip features a close-up view of a metallic surface with a distinctive pattern. The pattern consists of a series of zigzag lines, creating a repetitive and geometric design. The overall effect is a modern and sleek appearance, with the zigzag lines creating a sense of movement and rhythm across the surface."
Asphalt 015,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Asphalt 015/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a wall or a piece of fabric. The surface is predominantly gray and has a rough, granular texture. The texture appears to be made up of small, irregular particles or grains, giving it a somewhat speckled appearance. The overall color palette is muted, with shades of gray dominating the scene. There are no discernible objects, people, or movements within the frame, and the focus remains solely on the texture of the surface. The video does not provide any context or background"
Wood 072,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Wood 072/btf_sequence.mp4,"The video clip features a close-up view of a wooden surface with a distinctive pattern. Each rectangular section has a circular design in the center, with concentric rings radiating outward."
Wood 056,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Wood 056/btf_sequence.mp4,"The video clip features a close-up view of a smooth, light-colored surface, likely a wall or a panel. The surface appears to be made of a material with a slightly textured finish, possibly wood or a similar material. The overall scene is minimalistic, with no additional objects or elements visible in the frame. The focus remains solely on the surface, allowing the viewer to appreciate the details and texture of the material."
186 Aluminium Brushed,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/186 Aluminium Brushed/btf_sequence.mp4,"The video clip features a close-up view of a metallic surface, likely a piece of metal or a metallic object. The surface is characterized by a series of diagonal lines, which appear to be the result of a brushing or sanding process. These lines create a textured appearance, giving the surface a rough and somewhat industrial look. Scattered across the surface are small, irregularly shaped pieces of debris or particles. These particles vary in size and shape, and they are distributed unevenly across the surface. Some of the particles are larger and more prominent, while others are smaller and more subtle."
Bricks 061,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Bricks 061/btf_sequence.mp4,"The video clip features a close-up view of a brick wall. The bricks are uniformly rectangular and arranged in a staggered pattern, creating a consistent and repetitive texture. The color of the bricks is a muted gray, with slight variations in shade that add depth and dimension to the wall. The mortar between the bricks is also gray, blending seamlessly with the bricks themselves. The surface of the wall appears to be slightly rough, with some minor imperfections and variations in the texture of the bricks. The overall appearance of the wall is"
Marble 007,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Marble 007/btf_sequence.mp4,"The video clip features a close-up view of a surface with a marbled pattern. The overall scene is static, with no movement or action taking place. The focus is solely on the intricate details and the reflective properties of the marbled surface."
822 Dry Mud,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/822 Dry Mud/btf_sequence.mp4,"The video clip depicts a close-up view of a textured surface, likely a wall or a ceiling. The surface is covered in a rough, uneven texture, with various indentations and protrusions. The texture is quite detailed, with some areas appearing smoother while others have more pronounced bumps and ridges. The overall impression is one of a rugged, tactile surface that could be found in a variety of settings, such as"
Leather 012,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Leather 012/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a fabric or a wall, with a repetitive pattern. The pattern consists of small, evenly spaced, circular indentations arranged in a grid-like formation. The overall appearance is clean and orderly, suggesting a well-maintained surface. The video does not show any movement or"
617 Concrete 063,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/617 Concrete 063/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a wall or a piece of fabric. The texture appears to be a series of diagonal lines or ridges, creating a repetitive pattern across the surface. The color of the surface is a muted, neutral tone, possibly gray or beige, giving it a subtle and understated appearance. The overall composition of the clip is simple and minimalistic, focusing solely on the texture and the color of the surface."
Wood Parquet 03,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Wood Parquet 03/btf_sequence.mp4,"The video clip features a close-up view of a patterned surface, likely a floor or wall, composed of rectangular tiles arranged in a grid-like formation. The tiles are of varying shades of brown, with some tiles having a more muted, earthy tone, while others are a deeper, richer brown. The camera angle changes slightly, providing a different perspective of the same surface. The tiles are arranged in a way that creates a sense of movement and rhythm, with the alternating colors"
1383 Brickswith Paint,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/1383 Brickswith Paint/btf_sequence.mp4,"The video clip depicts a close-up view of a textured surface, likely a wall or a piece of fabric. The surface is predominantly white with a rough, uneven texture. There are several diagonal lines or streaks of a brownish color, possibly paint or some form of stain, running across the surface. These lines vary in thickness and are not perfectly straight, giving the surface a somewhat chaotic appearance. The background is slightly blurred, focusing attention on the texture and the lines. The overall scene suggests a sense of decay or wear, with the brown lines contrasting against the white background."
Wood 0058,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Wood 0058/btf_sequence.mp4,"The video clip features a close-up view of a wooden floor with a distinctive pattern. The floor is composed of light-colored wooden planks arranged in a chevron pattern, creating a visually appealing diagonal design. The planks are uniformly spaced, and the wood has a natural, slightly weathered appearance with visible grain and texture. The overall scene is static, with no movement or action taking place. The focus remains on the wooden floor, showcasing its craftsmanship and aesthetic appeal."
1913 Metal Lead Rough,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/1913 Metal Lead Rough/btf_sequence.mp4,"The video clip depicts a close-up view of a textured surface, likely a wall or a floor. The surface appears to be made of a material with a rough, uneven texture, possibly concrete or plaster. The colors on the surface are a mix of grays and browns, with some areas showing a more pronounced texture than others. The camera angle is slightly tilted, giving a diagonal perspective of the surface. The video does not show any movement or action, focusing solely on the texture and color of the surface"
Tiles 128 B,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Tiles 128 B/btf_sequence.mp4,"The video clip features a close-up view of a surface covered with small, round, white tiles arranged in a grid pattern. The tiles are uniformly spaced, creating a repetitive and orderly appearance. The overall color scheme is monochromatic, with the white tiles providing a clean and minimalist aesthetic. The video has a static nature, with no movement or action taking place, focusing solely on the texture"
Tiles 0020,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Tiles 0020/btf_sequence.mp4,"The video clip depicts a close-up view of a cracked and broken surface, likely a floor or wall, covered in square tiles. The cracks vary in size and orientation, creating a fragmented and uneven appearance. The overall atmosphere of the clip is one of decay and disrepair, with the broken tiles suggesting neglect or damage over time. The focus remains on the detailed texture of the cracked surface, emphasizing the contrast between the"
1100 Damaged Broken Wall V2,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/1100 Damaged Broken Wall V2/btf_sequence.mp4,"The video clip depicts a close-up view of a wall with a section of peeling wallpaper. The wallpaper is primarily red with a decorative pattern, featuring intricate designs and possibly floral motifs. The peeling section of the wallpaper is characterized by large, jagged cracks that run vertically and horizontally, revealing the underlying wall surface. The cracks are irregular in shape and size, indicating that the wallpaper is in a state of disrepair. The background of the video is a plain, neutral color, which contrasts with the vibrant red of the wallpaper and the stark white of the peeling section. The overall scene suggests a neglected or aged interior space, possibly"
1912 Metal Lead Rough,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/1912 Metal Lead Rough/btf_sequence.mp4,"The video clip depicts a close-up view of a textured surface, likely a wall or a piece of fabric. The texture is somewhat irregular, with visible lines and creases that give it a somewhat worn or aged appearance. The overall mood of the clip is somewhat muted and subdued, with a focus on the tactile quality of the surface."
1335 Stone Tiles Master,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/1335 Stone Tiles Master/btf_sequence.mp4,"The video clip depicts a close-up view of a cobblestone pavement. The stones are rectangular and vary slightly in size and shape, creating a textured surface. The stones are arranged in a diagonal pattern, which adds a sense of movement and depth to the scene. The surface appears to be wet, possibly due to recent rain or water being splashed onto it. This is evident from the reflections and the slight sheen on the stones. The ground between the stones is visible, showing some grass and small plants, indicating that the pavement is in a natural or semi-natural environment. The overall atmosphere of the clip is serene and slightly damp"
940 Granite 001,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/940 Granite 001/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a wall or a piece of fabric. The texture seems to be made up of small, irregular particles or fibers, giving it a somewhat granular appearance. The overall scene is static, with no movement or action taking place. The focus is solely on the texture and the interplay of"
Carpet 014,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Carpet 014/btf_sequence.mp4,"The video clip features a close-up view of a textured surface. The texture appears to be a woven fabric, characterized by a repeating pattern of interlaced threads. The fabric is predominantly white, with a subtle, almost neutral color palette. The weave is tight and consistent, creating a uniform appearance. The threads are visible and run in both horizontal and vertical directions, forming a grid-like pattern. The texture is smooth and even, with no visible imperfections or variations in the weave. The overall impression is one of simplicity and uniformity, with the fabric's texture"
2201 Metal Hammered Steel,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/2201 Metal Hammered Steel/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a metallic or polished stone material. The surface is characterized by a series of concentric circles and radial lines, creating a pattern that resembles ripples or waves. The texture appears to be rough and uneven, with visible scratches and imperfections scattered across the surface."
Concrete 019,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Concrete 019/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a wall or a piece of fabric. The texture appears rough and uneven, with visible imperfections and variations in color. The overall effect is one of a detailed, almost abstract representation of a material, emphasizing its tactile qualities and visual complexity."
Concrete 041 A,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Concrete 041 A/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a wall or a floor, composed of vertical rectangular panels. The panels are arranged in a straight, linear pattern, creating a sense of order and symmetry. The surface appears to be made of a material that has a rough, unfinished texture, possibly concrete or a similar type of stone. There are a few small, circular indentations or marks visible on the surface, which could be the result of wear or natural imperfections in the material. The overall color palette"
Paper Cardboard 02 03,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Paper Cardboard 02 03/btf_sequence.mp4,"The video clip features a close-up view of a white cardboard surface. The cardboard appears to be slightly worn and damaged, with several small holes and tears scattered across its surface. The holes vary in size and shape, with some being more elongated and others more circular. The cardboard has a textured appearance, with visible lines and ridges running vertically across the surface. The overall scene is static, with no movement or action taking place. The focus remains on the detailed examination of the cardboard's condition and texture."
377 Fantasy Elf Stone Floor,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/377 Fantasy Elf Stone Floor/btf_sequence.mp4,"The video clip depicts a close-up view of a textured surface, likely a floor or a wall, with a reflective quality. The surface is covered in small, scattered pieces of what appears to be broken glass or ceramic shards. These fragments are irregular in shape and size, with some pieces being larger and more prominent than others. The surface also has a few larger, more noticeable chunks of broken material, which could be part of a larger piece that has shattered. The reflections suggest that the surface is smooth and polished, possibly made"
2167 Rockface,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/2167 Rockface/btf_sequence.mp4,"The video clip depicts a close-up view of a crumpled piece of paper or plastic. The surface is wrinkled and creased, creating a textured appearance. The colors are muted, with shades of gray and white dominating the scene. The overall effect is a somewhat abstract and artistic representation of a crumpled surface."
1432 Wood,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/1432 Wood/btf_sequence.mp4,"The video clip features a close-up view of a wooden surface with a distinct grain pattern. The texture of the wood is smooth, and the grain lines are well-defined, creating a visually appealing pattern. The camera remains stationary throughout the clip, providing a stable and clear view of the wooden surface. The overall scene is simple yet elegant, focusing solely on the natural beauty of the wood."
Grass Concrete Pavement,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Grass Concrete Pavement/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, which appears to be a patterned fabric or material. The primary pattern consists of a grid of small, square-shaped holes or cutouts arranged in a regular, repeating manner. The squares are evenly spaced and create a grid-like appearance across the surface. The material itself has a slightly rough texture, with visible fibers or threads running in different directions, giving it a somewhat tactile quality."
